t,l,EEG Fp1_Delta.dB,EEG Fp1_Alpha.dB,EEG F3_Delta.dB,EEG F3_Alpha.dB,EEG C3_Delta.dB,EEG C3_Alpha.dB,EEG P3_Delta.dB,EEG P3_Alpha.dB,EEG O1_Delta.dB,EEG O1_Alpha.dB,EEG F7_Delta.dB,EEG F7_Alpha.dB,EEG T3_Delta.dB,EEG T3_Alpha.dB,EEG T5_Delta.dB,EEG T5_Alpha.dB,EEG Fc1_Delta.dB,EEG Fc1_Alpha.dB,EEG Fc5_Delta.dB,EEG Fc5_Alpha.dB,EEG Cp1_Delta.dB,EEG Cp1_Alpha.dB,EEG Cp5_Delta.dB,EEG Cp5_Alpha.dB,EEG F9_Delta.dB,EEG F9_Alpha.dB,EEG Fz_Delta.dB,EEG Fz_Alpha.dB,EEG Cz_Delta.dB,EEG Cz_Alpha.dB,EEG Pz_Delta.dB,EEG Pz_Alpha.dB,EEG Fp2_Delta.dB,EEG Fp2_Alpha.dB,EEG F4_Delta.dB,EEG F4_Alpha.dB,EEG C4_Delta.dB,EEG C4_Alpha.dB,EEG P4_Delta.dB,EEG P4_Alpha.dB,EEG O2_Delta.dB,EEG O2_Alpha.dB,EEG F8_Delta.dB,EEG F8_Alpha.dB,EEG T4_Delta.dB,EEG T4_Alpha.dB,EEG T6_Delta.dB,EEG T6_Alpha.dB,EEG Fc2_Delta.dB,EEG Fc2_Alpha.dB,EEG Fc6_Delta.dB,EEG Fc6_Alpha.dB,EEG Cp2_Delta.dB,EEG Cp2_Alpha.dB,EEG Cp6_Delta.dB,EEG Cp6_Alpha.dB,EEG F10_Delta.dB,EEG F10_Alpha.dB
504.0,1,-87.92986817196334,-96.62278095989565,-91.4742971040613,-96.97216913105036,-88.56504110247664,-98.13052102217513,-85.11995489695144,-95.82110206620058,-83.90035106848848,-93.71889441966665,-85.738274670367,-97.41652430659678,-84.18073654013371,-97.17786866308512,-83.48721973833989,-94.68166885829905,-88.26267449846677,-98.53632333610346,-86.25238714101076,-97.6048360445025,-88.30360662708088,-97.34223573272386,-85.3805049818189,-96.47643221605983,-82.66015792970343,-97.01016801718517,-90.96849729860688,-99.07306239800948,-89.58285129141154,-98.51147772105597,-85.16078253867352,-97.33087551930015,-87.83118101329535,-96.8012593700837,-88.794952379036,-94.71360471339315,-89.2219963434922,-95.30560617491832,-84.59723492625378,-96.22156785996573,-81.85292436134,-95.37299289241624,-86.79515005938393,-96.08008463982095,-85.73314114652251,-96.1854707790842,-82.89420697456912,-93.03291211011741,-88.77017877295745,-95.96379612408538,-87.20134660704477,-96.80948878879741,-88.09745017809641,-96.9535905111295,-85.84407310004794,-96.57074020812091,-83.94954040327121,-96.38720451997702
506.0,1,-90.8650301361775,-96.92044400632413,-93.15252984661355,-96.49805102824713,-89.01605457847373,-97.7917981880593,-85.8186084291766,-96.42266951878547,-86.14941617279713,-94.51140209070319,-88.65450169612161,-97.05859475993344,-87.37035223316585,-95.10993077753253,-87.42712356042695,-94.03760923714428,-90.79661816449558,-97.84512371595922,-89.09047207279676,-96.3332471894651,-87.87558535217599,-97.24110536121137,-85.89544381588951,-95.68955566836893,-87.93316223508938,-97.08001041965305,-93.38311371369103,-98.60682932681286,-89.49651382617736,-97.71969285927153,-85.11530802566803,-97.2991722021567,-88.4781575858559,-97.00024969159672,-89.86193505632762,-95.89572709027863,-88.45464649516276,-98.01825556299305,-83.98694249855077,-97.26338485640096,-83.77117272220005,-95.91167743288716,-87.21371414657263,-97.37742693027121,-85.31687806604637,-96.79433966640792,-83.84888477157412,-94.78237697451436,-89.75179890014176,-98.09258567025303,-87.91862774092328,-98.47126309441785,-87.43607680691628,-97.44004360449699,-84.1335575719193,-96.9968236970706,-85.78051465089983,-96.79443068537117
508.0,1,-82.03095336903642,-96.81373677751887,-91.6967532070403,-96.27408351121566,-78.86883240929913,-92.90873384316507,-82.96799494199081,-96.64799910769779,-81.73337122796653,-95.3211847363726,-89.93031830028598,-97.55598872855182,-84.98115816792088,-94.37723110035121,-83.31745271370833,-95.42446037912953,-85.34449260472931,-97.4016216379936,-86.531357229933,-97.24323769014228,-83.04340579798703,-97.12218922440739,-84.28603232385927,-95.71760452848865,-83.96915725318789,-96.15182232469144,-88.82624549504058,-97.89116711450077,-83.7795476566739,-97.45619217268404,-83.00257302695037,-97.593717417812,-82.2931094682732,-95.64695983574744,-89.76748566699719,-96.18541733913729,-84.30749923575483,-97.16631429433399,-82.35152140146526,-97.4746169783563,-81.79332223284916,-95.95083362356155,-88.84196332235126,-96.15534669456052,-82.44135419731798,-95.59170732997472,-81.00972744379578,-92.81877014813013,-85.48913979340499,-97.05371849353155,-84.83293902666881,-96.70284695794803,-82.56793834407544,-98.06794009568002,-82.43054997446396,-96.2982215155611,-81.97262186701528,-95.20584813873558
510.0,1,-77.44659497120344,-95.0159472523945,-84.46612001682155,-95.66664689569461,-77.33876165701949,-95.04242492200164,-75.49698656697925,-93.25653644971125,-74.81219146815504,-91.12736888750828,-81.4795826799869,-95.0020857742773,-75.49834393932198,-93.1279668242584,-74.21429008117607,-91.04568659830939,-78.97798951479703,-96.00717142249495,-78.08227512347906,-94.99495861586405,-76.55016391661172,-94.71265113188724,-75.86611705813971,-93.39756059400574,-73.98691878304003,-92.72984479979165,-87.12203324719617,-97.49476227711291,-77.84649428216669,-95.15782581274193,-75.54681244326675,-94.57219529424003,-76.01055385688794,-93.55071754412683,-84.03250702384825,-94.60929382749448,-76.88833308788934,-94.76869456449299,-75.07317103941244,-93.95280032090574,-73.82285841893282,-91.89142435440645,-86.48133059175805,-96.27514084699601,-75.11004844258409,-93.12216755669675,-74.02820227376077,-92.61955386030823,-78.91901379495562,-94.34881832143303,-78.27115585670396,-95.07817792515681,-76.24245597314281,-94.20861619709419,-75.31159130460773,-93.6546343060826,-74.00229864701149,-92.51122662709618
512.0,1,-93.760805282219,-97.04606168341202,-91.14608282699679,-97.24010842501188,-90.97910128048831,-95.7252430581478,-87.582933634689,-96.4301591168933,-86.38924575811242,-95.35797169478535,-89.86047313555906,-96.51249946870462,-89.0186642699605,-97.5492696096565,-87.41091137816845,-95.37520775194983,-93.28200655538772,-97.87373457650119,-90.88463566497467,-98.00586665078342,-90.75165650516195,-96.77510309257255,-89.45212237636808,-97.2299331005047,-87.58582705325183,-96.32717758051052,-94.25343717112197,-98.6945879002808,-92.01154143087234,-98.09113191120325,-89.11550820054615,-96.84760969907029,-89.79020881590897,-97.4138453059325,-93.22432773222533,-97.15339789043003,-90.7672783539195,-97.20918157131632,-90.10256794957827,-97.03942652959128,-88.56083468385494,-96.18905081431953,-87.27407892968758,-97.60221230002286,-89.97421306967469,-96.43859387918778,-89.65645040534753,-95.24651025668746,-94.62309867879812,-97.02912526168221,-94.54759940752842,-97.56895536460048,-90.61856784506303,-97.63141125071704,-89.64714035145138,-97.06349549990223,-86.91830733339147,-96.02809881893924
514.0,1,-89.21140514565339,-96.79719927801365,-92.97735907303968,-96.01756616804735,-87.58966208969092,-97.11860445051244,-83.96299939134781,-95.7715584305804,-84.036596675514,-92.57519045494901,-84.8845496796732,-95.88032577658497,-83.94101263888962,-96.99657316953463,-84.86592639338382,-94.86425498164394,-89.86075334603575,-98.13546454043397,-87.62700526031266,-97.63515934486222,-85.77642708286317,-95.865358182521,-86.59364049220193,-97.04646783820861,-81.85804793369009,-95.19087221442815,-86.47933385689264,-98.31264094285973,-89.16655504826814,-97.31676545153604,-87.15201128832005,-95.53704632823498,-86.09586342330837,-97.02462670510806,-91.1886508494442,-95.7000911277432,-89.92092334371765,-96.72398400298536,-88.03478699662504,-95.96750799028696,-86.02518859254215,-93.72406870073532,-87.25149269904121,-94.71693072929178,-85.46438116798234,-94.7173784600312,-85.12820577377093,-93.39598855966442,-89.38797287659268,-98.35006232624801,-88.3813456157269,-96.17437281552371,-86.90645793776795,-96.59181263076422,-86.03978835321671,-95.4110259031092,-81.54432179163065,-93.70346366011259
516.0,1,-77.63518368208585,-95.69417961132146,-86.79720507682705,-96.04683075651634,-78.21573832484663,-95.93456189507566,-77.21995331495796,-94.49164815072112,-76.05464368155259,-93.21823958067527,-86.23062381823325,-95.80928151050622,-77.97758981248995,-94.58722571458867,-76.29478245480229,-92.01246615342582,-80.02447896249666,-96.71270328739581,-80.67683928577091,-95.88437790360017,-77.81183746128302,-95.17791498628586,-78.53725038343353,-94.64778872843097,-76.08569349856299,-93.58175783197291,-87.74984473279444,-97.97857053091106,-78.46191996027751,-96.64803495967823,-77.37617654522866,-94.31701138368356,-75.52856193439726,-94.32427406803447,-87.31355121874341,-96.25173734421203,-79.12054487903303,-93.73912206683733,-77.17906304417745,-91.1200711527011,-75.80793804162316,-90.740007244899,-84.7074748907844,-95.54127737258725,-78.17158112607223,-94.96707551964961,-75.49367577693485,-91.58115750826381,-79.3646776634576,-96.19380846414536,-81.54492211885628,-95.96545294944761,-76.56279268102206,-93.47111820378983,-77.13851474321638,-93.07908710238877,-76.75256080448061,-94.41525640251803
518.0,1,-80.39840183426831,-96.6526471140473,-86.50378194909074,-96.31791765709738,-80.15857099152524,-96.8273645805634,-77.93556319753093,-95.4019070055105,-77.09069337339427,-93.52155073770899,-84.69725039259943,-95.75535442509437,-79.11646233000508,-95.54629924936249,-77.14061412333307,-94.53680234200579,-81.51739308911039,-97.4097563597879,-81.2213362076169,-96.42482753203777,-79.03776946576535,-96.39604839432012,-78.82149121749877,-95.33218180472161,-77.62453933354989,-94.8334619988894,-89.65734560379997,-97.88375497308137,-80.54229805965704,-96.77318484983074,-79.58367924815765,-96.82286977872137,-77.68881152955137,-95.8454115858335,-89.29264338511416,-94.68816737932043,-80.80758089688206,-96.57294894150658,-79.03805306024908,-97.28898281393256,-76.89233580537665,-94.76980990235216,-82.20827937917511,-95.97043706437225,-78.82486583799137,-94.30684482219725,-76.83888566538543,-92.7698621301878,-83.37694262480832,-97.28861795367946,-82.60643299764986,-96.45695744796876,-79.78910106129352,-97.20289624821854,-78.44148790396893,-96.85065118043158,-78.42439623947999,-95.23764208970887
520.0,1,-79.40949021622886,-96.31327724823437,-86.08577041917086,-94.39210780258892,-79.07375295939434,-94.25159185372921,-77.42158996873142,-91.8607806011321,-76.942041979399,-91.69193895000717,-82.08553498125367,-92.79868684108116,-77.40401843856402,-91.20061756207414,-76.8681281217892,-90.34995333516122,-81.16103344818654,-95.6451939439934,-79.72952816382238,-94.42303384105428,-78.16629808693534,-94.03504880359675,-77.85392906340415,-91.00866655697862,-76.35830025546879,-91.43596420304826,-88.49776468991553,-97.84548822616279,-80.30100547635045,-95.32327011905765,-78.05501496424375,-94.13766493709818,-76.56971103097342,-93.50929182886794,-88.88594542973377,-94.38873907402277,-80.94498898895108,-94.09276266048306,-77.80466407544937,-94.06603873433944,-77.1435414606226,-92.3767409037799,-80.2053283671747,-91.16831159704236,-78.93482397596047,-90.7709896373857,-76.73803555308021,-90.04973452692441,-82.49882350194626,-94.87659379656095,-82.4576008141897,-93.52176055717251,-78.47670969021577,-94.38847771304734,-78.46244224486742,-92.6659647245595,-77.28080139203315,-91.14229728643
522.0,1,-79.52287571268988,-95.57623143788302,-91.32949406508678,-96.75077405397394,-82.23135611704882,-96.47759348961853,-80.57613760172012,-95.2680561022352,-78.02855348306898,-95.03336658303905,-87.28059670575601,-96.07932906580713,-81.75167069515442,-95.50862746807054,-78.78961051974314,-94.2531402725718,-82.84103238549754,-96.75857925643656,-84.20922367925502,-96.68974698846523,-79.8976118114011,-96.67688013401198,-81.5325364720747,-96.38898999076459,-80.72632885634366,-95.08157110349829,-87.95531210315903,-97.80036488786457,-81.23324626709905,-96.09545051664888,-79.75459962040132,-96.35832092167122,-79.65992622959858,-96.25774022868873,-87.23055633245033,-95.89735080308003,-81.17036170907562,-95.79372934702528,-79.57498222291677,-95.96565623360705,-78.00403349408016,-94.8330317470035,-80.61819324629514,-93.0808640648998,-79.66245121469196,-94.97460944534961,-77.76933820301637,-94.92939844547908,-81.47634884549691,-96.30898770464056,-81.71090905627958,-95.97931627864469,-79.28116440967563,-96.66345460249431,-79.23729795837639,-95.68795650274964,-77.9332128678429,-93.7477483305473
524.0,1,-81.72047728039357,-95.01731310486421,-90.52819460269475,-96.2656543220535,-82.91476051916213,-96.25773839805754,-80.48153794377174,-95.93171928752979,-78.70096297236297,-95.07417242378254,-86.26695627576468,-96.75123624298159,-81.98436271966033,-95.05816918863917,-79.54527776110675,-94.42765059148662,-84.58663912642172,-97.13951440785239,-84.02383488876274,-96.83193123214835,-80.68233688611733,-96.14956481214394,-81.12453220546614,-94.63639640204704,-79.80272443211247,-94.46513637398078,-91.34301365629982,-98.28667157212372,-83.45053041022481,-95.60726831343459,-80.16746292893194,-95.56947174266531,-79.86803021923,-95.07469925018513,-91.23473999408566,-96.13301841194378,-82.5512784067435,-94.41531518311108,-79.82621911861312,-94.28969854166253,-77.69000822488026,-93.67538501762266,-82.11631875779622,-95.17615027927447,-80.72738392716352,-93.61216012007269,-78.68451925044495,-92.73333856505467,-83.14786615916624,-95.9366501986965,-83.57405407484562,-94.81797237721464,-81.44103236769693,-95.39062677383205,-80.52019442248364,-93.59513870769669,-80.29702273624407,-94.0783032334639
526.0,1,-80.8244668160561,-97.06220958700985,-88.57220477762215,-96.40655962617186,-81.45742495730414,-96.17248065931062,-80.35888920503238,-94.43073071768464,-79.01657806640726,-92.06015464750857,-87.2698821424417,-96.45555022622702,-80.31743554567424,-94.68832773034418,-79.24513868013658,-93.25608783034465,-83.24541610869923,-97.31076419936322,-82.62838967541539,-96.81334300820993,-80.59515786684251,-96.70902619132525,-80.44859339616565,-94.73574460400332,-79.14981474342295,-94.50653037719393,-89.6109680108319,-98.70918773304848,-82.05374271336768,-96.890366719545,-80.64037411988451,-95.93972515512166,-79.26557485637875,-96.43396658407205,-86.69219006242332,-95.4176560143458,-81.67778947825921,-95.77873505563733,-80.02797726781318,-95.05649719416775,-79.20067397449996,-93.15468491943149,-84.03262016774937,-94.44290965475275,-79.35484652782708,-94.55068624225513,-77.94115342478105,-92.2372105041679,-82.39296368853823,-96.55401897841408,-81.48118599055962,-95.51132349747361,-80.89539143196895,-96.30086101887645,-80.15297665125807,-94.66059761747027,-77.88376883310127,-93.20090959106027
528.0,1,-77.06164680788905,-95.74870561018398,-84.46491931828184,-95.70164790365678,-77.7246119893071,-95.00211069258921,-76.13476714088642,-93.0511393735604,-75.0033984786531,-89.81998882180332,-85.54358581653445,-96.12508257791029,-76.17296652568886,-93.66316403011,-75.37636412978655,-91.82011134811134,-78.55534922494368,-96.61371574437382,-78.53318551087662,-95.27361046965089,-77.15934786054316,-94.34935575852465,-76.65022465111444,-93.74336805047389,-75.27990684029938,-92.86693853556693,-85.41941230093809,-97.99276199328887,-77.72415761791534,-96.68896609969978,-75.92402369426758,-94.22792637746639,-75.25089645843835,-94.08675366199616,-84.18530182833226,-95.27675900882406,-77.6484574342879,-94.18728487669348,-75.8573437980413,-92.5935111298507,-74.48163810496493,-90.30770853452971,-82.43247613358575,-95.33378189828731,-76.00501778786726,-93.74703226318456,-74.4129604986133,-91.53937006048207,-78.34844671167482,-95.2535893629977,-78.97691723448855,-94.40310115164624,-76.85376880238994,-93.60453568200512,-75.4418809312938,-93.0965514708838,-74.72284262771566,-92.27478971416808
530.0,1,-79.3137129429096,-95.87956055439383,-84.50143808420842,-95.42444061297793,-78.52996742713016,-95.8622557878086,-76.9738192041931,-94.94357536851096,-76.18599495654863,-93.16051998672343,-83.75705145515546,-93.9898714834338,-78.35940057289312,-93.45151885150564,-76.24242474718837,-93.07995493009203,-79.90522690764743,-96.47347856382196,-80.08703756993135,-94.44869254077614,-77.85695704702331,-95.35482693480567,-77.5208970440899,-94.92674371423162,-77.19294880843772,-92.73940724403423,-87.09144446360256,-98.29827061632878,-79.23048665719925,-96.57851521591355,-76.88798537357304,-95.35578752439613,-75.7497749798721,-93.50389276324522,-89.91672549732185,-95.08451709601678,-80.2466540453368,-96.48945973865685,-77.70695930128088,-94.48042563537146,-75.86482030061232,-93.24833777351813,-79.76881291547011,-95.55753570842221,-79.0308968658077,-92.97753406380687,-76.66462167835985,-90.70011327215047,-80.57960849641889,-96.32705766054156,-82.59616503358501,-96.24656116454126,-78.41708856451055,-95.72409586945977,-78.35713577614828,-94.2345271639158,-78.58477105056234,-94.1537013160885
532.0,1,-78.83236940265448,-93.24505203153672,-88.30464223697207,-95.97849585812355,-81.64488132241367,-95.2032504291593,-80.23670826624992,-94.40180119828258,-79.39650746159867,-91.98745316693982,-86.26439475378832,-96.62614724870124,-80.51642216738047,-94.17416300508577,-79.02841637798869,-92.03059984503923,-82.70496542584212,-96.34331672395204,-83.90603616761342,-95.89459395380314,-80.64820767608474,-94.39110384460403,-79.37437085441117,-94.36534362149774,-79.35078808709457,-93.46436643520478,-87.49086005641453,-97.61014028790476,-81.67412628381072,-95.48905830091371,-79.41761910915928,-93.54356860719768,-79.17645784060629,-93.78369238358566,-85.52178361446144,-95.42891474850234,-81.55225867727012,-93.22358171164511,-78.80192203978518,-92.78317531274922,-78.15423979359788,-92.71155255272086,-83.88169096922081,-94.89980232249206,-79.03554482339057,-90.7504997075228,-77.5116209966073,-91.4234734082844,-82.05484895261039,-95.11114594416435,-82.33025595141997,-93.72361617314999,-80.3515515418666,-93.99854587963945,-79.55566622735495,-92.65629878993857,-77.77494180370665,-91.09545527441888
534.0,1,-78.5169842917754,-94.27247363829375,-85.83103291892138,-93.53926343658983,-80.15543792204298,-95.03901199159085,-77.69949989102602,-94.1043212370873,-76.85078737608985,-91.57130679045535,-84.18757789148336,-94.84767662366102,-79.67530262271941,-95.10628766835681,-77.17656416698338,-92.37509699873257,-81.6494430803441,-95.8616608120563,-81.61819338167136,-95.91277634605945,-78.84431880306921,-94.7232735291535,-78.43450638206829,-94.4968050311161,-78.78292712402883,-93.42008232895301,-85.92643551104992,-96.43771216133892,-80.80747635925388,-95.28657263251878,-78.16163868748369,-94.32842429789203,-78.08683265896067,-93.98743582833751,-86.0098481682964,-95.10704520358695,-80.24481021665528,-95.03230903028694,-77.93389906030734,-93.46310439936417,-76.30065750318134,-92.71432556638248,-85.58366045001554,-93.5173947698612,-77.96749646443574,-92.35302990073376,-76.29992386789205,-91.07592399101186,-82.13654550599082,-94.72272544779464,-81.0016088682721,-94.61396486726329,-79.46923406490295,-94.86050426497059,-78.0855473629294,-93.50335172494178,-77.0523515806333,-91.60013929102382
536.0,1,-90.25391242582464,-97.02338028073666,-89.34239992170853,-96.14784612760263,-89.86050990248822,-97.48194436403857,-86.73926929563495,-96.24003136810757,-85.73292372765847,-93.01985937501613,-87.61685541666503,-96.38580870706706,-86.79845542529405,-97.64342717139138,-85.54170597223757,-94.67474648705995,-91.29402798481492,-98.29603862745768,-88.65546869972218,-97.7213149579694,-89.08010706335573,-97.72787011850811,-86.76814311434903,-97.20657446007178,-86.01797761927276,-96.84029837661822,-92.39205217532444,-98.48487744166816,-89.52012638213597,-98.51668680091562,-87.53956830996556,-97.63548191108183,-87.77959043539717,-97.29110694569881,-89.37940835328749,-96.2554755488377,-89.28472169778117,-96.0102692306222,-86.7926756334313,-94.88306669962381,-84.6827968806946,-91.9312444725694,-82.47142680508003,-94.09288676399669,-84.40214268501846,-94.19918558011352,-86.47983885665204,-92.68897626280202,-89.17192192530274,-98.11667500410405,-85.83721236831562,-95.69993093084172,-88.97071565177478,-97.53720524727424,-86.61201723694398,-94.79798620836482,-82.08311342326907,-94.82129103725691
538.0,1,-78.10541678976959,-94.77336960867319,-84.9751198598792,-94.82735837796307,-78.98563181572119,-93.82861184161122,-77.00730473720498,-93.2895700893938,-76.74732013850246,-91.93533635734039,-82.08377353218248,-91.5265181510219,-77.5387289521388,-90.63050568334378,-76.04446073147153,-91.07713933459073,-80.54049618976272,-94.96987599478868,-79.52038890029715,-93.03149222953505,-78.32470489893096,-93.66819056759135,-77.61644914741203,-92.47578721295025,-75.27014719258311,-89.7722177058281,-87.52265045270298,-97.61998813120684,-79.16956685737021,-94.82666248730123,-77.27795629589242,-93.80244739249065,-75.65439434488673,-91.73797462972821,-85.54371911119132,-94.03447977880421,-79.44477368062353,-94.19102257498446,-76.74216243604799,-93.73899932919477,-76.42053897680599,-92.17096518159808,-80.6878103581256,-92.67536840779795,-77.3251072626664,-92.11599412992116,-76.16943489689487,-90.42941035491408,-79.10208425112101,-94.90888054928307,-81.03967354553838,-95.67664320309648,-77.71812270925922,-93.7578512360736,-77.03190025445235,-93.75218281020999,-76.77092248912082,-93.21885597248576
540.0,1,-79.17515446756798,-95.32076803302056,-87.78359551189865,-96.05116993896665,-80.51980555236261,-94.71968858394733,-78.48074143814054,-93.16948850039063,-78.60747158250338,-91.59415985873102,-87.75308137440474,-94.9239714769675,-79.70545605786813,-93.71106630519293,-78.20162078372987,-91.85179343165774,-80.81936704857866,-95.76218547410329,-81.94441282046918,-94.83736983366111,-79.07751519650914,-94.43706692315182,-79.13094337555842,-93.82707860981338,-78.69383680753648,-92.28637332020283,-87.31505928361919,-98.16648120935662,-80.98228595641955,-95.23242812867,-78.65159173359169,-94.2947868710539,-77.91919219178693,-93.2577566472923,-87.39008803581768,-95.65064898963222,-81.86956141544457,-94.64657462099657,-79.13497695278349,-93.90826681659925,-77.75693517839719,-92.4086249386964,-82.0316859500121,-95.94020818666817,-79.3549031755949,-93.88214521943144,-78.3337722131794,-92.15473005829787,-81.10107985667938,-96.01860539903656,-81.32797540188199,-95.30954697341151,-79.67926666191292,-94.34938052524977,-79.80527448768595,-94.08838493461391,-78.14805520599843,-93.16052469106175
542.0,1,-76.0346878408622,-94.90267670126198,-85.34478989647508,-95.27721908550221,-77.49442712603708,-96.66697520489515,-75.63232845526998,-94.76567984847526,-74.36830839433253,-91.79434109942882,-82.83921920862997,-94.40603863483207,-77.20645934270172,-94.18578627335387,-75.27167090412316,-92.09521976721933,-78.42810857874564,-97.53430960887853,-79.30252551753661,-95.43537014296432,-75.67222946428829,-95.73958881157839,-77.18874280264308,-94.3846156025193,-75.49966404033056,-93.71031052143081,-86.93412150812807,-98.18757166937385,-77.40788728218229,-96.94257218357423,-76.084822535369,-95.26627932591938,-74.88362352910774,-95.76999452595027,-86.00312903519858,-93.85316067229695,-77.1693741703247,-95.02241299519243,-75.87028978466974,-94.36940787260664,-74.8208919214484,-92.06239922923153,-82.30456586986811,-94.2179357007914,-76.33501380551829,-94.38009707783009,-74.32699375531571,-93.43364612454884,-78.35673069829025,-97.71966110638348,-79.24256345524823,-95.45309737774973,-76.24958852441945,-95.43166254497224,-75.62323484411363,-94.95902064522598,-75.28133533002834,-93.72923542123159
544.0,1,-73.68615164402716,-95.87852920960925,-81.38977547005304,-95.94244592046293,-74.32378072648743,-95.59345560145997,-73.30161620826713,-95.18450465093993,-72.12572671896314,-91.92696152489007,-78.41751084440851,-94.04377692414863,-73.22365175809577,-93.73266470234003,-72.38914632754177,-92.47649870601172,-76.10935663528034,-96.90937539311356,-75.75390712042125,-95.02386172584401,-73.34212541187438,-96.10015346431796,-73.06511131661149,-94.57643512777638,-71.91559489038298,-92.15428679408436,-83.93391246883,-98.91266536201354,-74.90430655102489,-96.19414847016687,-72.92931430883795,-95.80893944760814,-72.90663074366408,-95.14996915548173,-81.547929411843,-96.72661977987616,-74.75030316652577,-95.12431895136854,-72.80190438583293,-94.62616262136078,-71.95955285189129,-92.89825996239259,-79.5327530211005,-96.39563979858364,-72.43213390733901,-92.18934254382667,-71.67650591612232,-90.91959141424246,-75.81862898432388,-96.10995881376519,-75.6510042636099,-95.59213301193535,-73.54644010062732,-95.64912532242906,-72.81699059877003,-93.79040731480515,-71.10935366549595,-92.47240474620553
546.0,1,-74.48122741514862,-93.72255023295524,-82.54775950282396,-94.37621136238658,-77.75488551130888,-94.93544380441236,-76.38370027787589,-94.14300309732093,-75.65690091989062,-91.07529975053396,-77.42070865912623,-92.76345474122107,-76.98161896096057,-92.44020248734252,-75.6493166405713,-92.55852195641383,-79.75958877627392,-95.706481470053,-80.04666316494125,-93.58486387638082,-77.1347062960075,-95.29258239768794,-76.52038435589884,-93.40388980403289,-76.05207806006203,-91.46218645035306,-85.01938769182084,-97.61659375907561,-79.0946250139482,-95.91474141692558,-77.14788251344484,-94.54948407967439,-76.58178658381685,-94.53606529428009,-76.99576998986059,-94.39644689664034,-76.67801477655183,-94.11234253944427,-75.93906257671313,-93.69623612866789,-75.27164785014145,-91.59491455652247,-69.07887203422379,-92.4053588034445,-73.41590819940656,-91.74275265898231,-73.86518083362016,-90.62637859482138,-77.86369796781918,-95.76871747952015,-75.18604632789324,-93.73342212988055,-76.64020719040658,-94.48400022602273,-74.78390013689342,-92.83564496592348,-69.84022631608306,-90.88685144384152
548.0,1,-68.35514505939928,-91.13653925590675,-83.52991090466928,-93.2303628663837,-79.13104317616734,-94.86784362011633,-74.87254365543747,-93.8238556262634,-73.16113409995118,-91.80892838714705,-70.03203573931528,-90.36632560113071,-79.80605471347563,-91.54124813712164,-73.80374275606285,-92.24975457261888,-79.77642378419687,-95.7338874083058,-85.3969742905381,-93.93207728844318,-75.85143546820186,-94.4287387774935,-76.36909127937484,-94.1788054319987,-81.05403890414954,-89.78529904393197,-81.99449924475024,-97.14960554932472,-76.26281762729587,-94.87400471729603,-74.663440977151,-93.6163368418151,-83.1542250907868,-94.30807009916586,-70.53967662980014,-92.087252586102,-72.30851014875294,-93.39330793636039,-72.1122440215957,-92.64476841865927,-71.70899179302522,-92.59530179887898,-62.71786286945052,-91.00215781693717,-67.8698427464554,-89.42924110873531,-69.60362832044724,-92.33238172325663,-74.27131352912545,-95.39592879137697,-68.33927461509913,-92.61499182574182,-73.68051852937006,-93.69182326137435,-70.18917002972346,-92.21245804264137,-63.70767757424513,-89.90520047280899
550.0,1,-80.72490231194278,-94.38926749871518,-89.17064029576936,-94.62394630065093,-81.70889924324113,-93.80438311218543,-81.7651426916119,-93.96037688573793,-80.2004088029397,-91.65799259930026,-88.27320434033872,-95.07309289997848,-81.85864424671576,-94.86573375856133,-80.1386886444302,-94.02008657125839,-83.27395990299198,-96.20808098890406,-83.49165446903228,-94.24682107891681,-80.8655440550581,-94.79027304961414,-78.92571352006642,-94.29714167550381,-80.83541242137032,-93.57261322059588,-89.88195813128897,-98.31322860848914,-82.37092765583216,-95.71417067841048,-81.79074270844352,-94.12960339233253,-79.02080930842118,-93.88014683314475,-89.01201495939887,-94.63292401231955,-81.5433698501615,-95.1916679953461,-80.47529109237942,-94.14166242846649,-80.06988554505328,-91.47088167523164,-81.25591351306178,-95.27058423737627,-81.2114119137739,-92.64774919819052,-78.80975172164932,-91.30173491480633,-82.01471702829576,-96.87435166394718,-83.7164088032665,-95.02014571747864,-81.95390927687819,-94.47587109632312,-80.219256920288,-94.27274073947902,-79.86731459048607,-95.90722614151932
